#Database;https://pomber.github.io/covid19/timeseries.json
#tld;Name;Name_DE;EW;21-02-04 07:12
#Datum;Conf;Dead;Reco
de;Germany;Deutschland;83517046
20-1-22;0;0
20-1-23;0;0
20-1-24;0;0
20-1-25;0;0
20-1-26;0;0
20-1-27;1;0
20-1-28;4;0
20-1-29;4;0
20-1-30;4;0
20-1-31;5;0
20-2-1;8;0
20-2-2;10;0
20-2-3;12;0
20-2-4;12;0
20-2-5;12;0
20-2-6;12;0
20-2-7;13;0
20-2-8;13;0
20-2-9;14;0
20-2-10;14;0
20-2-11;16;0
20-2-12;16;0
20-2-13;16;0
20-2-14;16;0
20-2-15;16;0
20-2-16;16;0
20-2-17;16;0
20-2-18;16;0
20-2-19;16;0
20-2-20;16;0
20-2-21;16;0
20-2-22;16;0
20-2-23;16;0
20-2-24;16;0
20-2-25;17;0
20-2-26;27;0
20-2-27;46;0
20-2-28;48;0
20-2-29;79;0
20-3-1;130;0
20-3-2;159;0
20-3-3;196;0
20-3-4;262;0
20-3-5;482;0
20-3-6;670;0
20-3-7;799;0
20-3-8;1040;0
20-3-9;1176;2
20-3-10;1457;2
20-3-11;1908;3
20-3-12;2078;3
20-3-13;3675;7
20-3-14;4585;9
20-3-15;5795;11
20-3-16;7272;17
20-3-17;9257;24
20-3-18;12327;28
20-3-19;15320;44
20-3-20;19848;67
20-3-21;22213;84
20-3-22;24873;94
20-3-23;29056;123
20-3-24;32986;157
20-3-25;37323;206
20-3-26;43938;267
20-3-27;50871;342
20-3-28;57695;433
20-3-29;62095;533
20-3-30;66885;645
20-3-31;71808;775
20-4-1;77872;920
20-4-2;84794;1107
20-4-3;91159;1275
20-4-4;96092;1444
20-4-5;100123;1584
20-4-6;103374;1810
20-4-7;107663;2016
20-4-8;113296;2349
20-4-9;118181;2607
20-4-10;122171;2767
20-4-11;124908;2736
20-4-12;127854;3022
20-4-13;130072;3194
20-4-14;131359;3294
20-4-15;134753;3804
20-4-16;137698;4052
20-4-17;141397;4352
20-4-18;143342;4459
20-4-19;145184;4586
20-4-20;147065;4862
20-4-21;148291;5033
20-4-22;150648;5279
20-4-23;153129;5575
20-4-24;154999;5760
20-4-25;156513;5877
20-4-26;157770;5976
20-4-27;158758;6126
20-4-28;159912;6314
20-4-29;161539;6467
20-4-30;163009;6623
20-5-1;164077;6736
20-5-2;164967;6812
20-5-3;165664;6866
20-5-4;166152;6993
20-5-5;167007;6993
20-5-6;168162;7275
20-5-7;169430;7392
20-5-8;170588;7510
20-5-9;171324;7549
20-5-10;171879;7569
20-5-11;172576;7661
20-5-12;173171;7738
20-5-13;174098;7861
20-5-14;174478;7884
20-5-15;175233;7897
20-5-16;175752;7938
20-5-17;176369;7962
20-5-18;176551;8003
20-5-19;177778;8081
20-5-20;178473;8144
20-5-21;179021;8203
20-5-22;179710;8228
